Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=e745d37ace6b4470,Customer Success Analyst - Korea (6 Months Fixed-Term),서울 강남구,,6-Months Fixed- Term Customer Success... approach... focus on building long- term partnerships. Passions for continuous...
https://kr.indeed.com/viewjob?jk=40cbef1739f31b5c,Adhesive Intern for Technical Customer Service,서울,,"영어 회화 가능자 JOB ID: 21025850 Contract & Job type: Full Time, Limited Term Contact information for application-related questions..."
https://kr.indeed.com/viewjob?jk=61a8d3be7a1773dc,Engagement Partner,경기도,,customers Work... business stakeholders... long- term and trustworthy partnership... Veeva Services team...
https://kr.indeed.com/viewjob?jk=3a08b30ab659e141,Market Development Manager,서울,,"Optimistically focus on continual growth over a longer- term horizon • Bias for Action: Have a bias for action, prioritizing..."
https://kr.indeed.com/viewjob?jk=ae859dd1db4fc46c,General Manager Korea,경기도,,Responsible for customer management. Establish long term relationship with strategic accounts and relevant stakeholders...
https://kr.indeed.com/viewjob?jk=b87e98432a95d128,"Settlement Operations, Cash Equities",서울,,"principal investment. Job no: COG-962296 Work type: Fixed term Location: Seoul Category: Junior, Operations Group: Corporate..."
https://kr.indeed.com/viewjob?jk=b69703c163179d10,Bilingual (Korean-English) Non-Voice Customer Support,서울•원격 근무,"시급 8,400원 - 9,000원","full-time... long- term work from home job. If you are looking... stable and long- term job, submit your proposal..."
https://kr.indeed.com/viewjob?jk=e2ac5f3c7544bdc7,[JW중외제약] 대졸이상 신입/경력 수시채용,서울 서초동,,"신제품 후보물질 발굴 및 License-in 추진 - 신규물질 스크리닝, 제품검토 및 시장성 평가, 사업제안, Term sheet협의 2. 신약개발과제 License-out 관련 업무의 기획 및 추진 - 내부 개발현황 파악..."
https://kr.indeed.com/viewjob?jk=2bcc127fa59fa238,"Account Manager, Samsung - Amazon Web Services, Korea",서울,,Manage and support customer interactions · Develop long- term strategic relationships with key accounts. · Ensure customer...
https://kr.indeed.com/viewjob?jk=00fbbe5760a7d330,E-commerce intern (6 months contract),서울 종로구,,"group – short and long term. Responsible... customer satisfaction, short and long- term. Daily optimization and evaluation..."
https://kr.indeed.com/viewjob?jk=2741253de882f237,"Digital/PR Marketing 팀장(8-12년, 과차장급)-유명글로벌소비재",서울 강남구,,ž Develop digital marketing strategy for mid/longer term ž Develop category/brand digital marketing strategy in line...
https://kr.indeed.com/viewjob?jk=facdad17116f33cf,Senior EHS Specialist,서울,,so you can grow your career and expand your skills... long term. Cytiva is proud to work alongside a community of nine...
https://kr.indeed.com/viewjob?jk=4847e14ba0ab8c23,[Consumer Health] Brand Manager – Neutrogena,서울,,"Neutrogena cleansing to lead the brand... short- and long- term strategy, marketing campaign, and strategic sales planning..."
https://kr.indeed.com/viewjob?jk=23ef68a78c7d4e0d,Key Account Manager,대한민국,,encourages long term business growth... outcomes. * Monitor and manage trading term compliance. * Other responsibilities...
https://kr.indeed.com/viewjob?jk=9054ea6641797ebe,Head of CE&I,서울,,insights. Responsibilities Responsible for corporate long- term strategy plan set up and manage/ monitor portfolio...
https://kr.indeed.com/viewjob?jk=4ff874866ad60ddd,Customer Service Manager,서울,,daily directions and supervision Assist in negotiating Long Term Service Agreement (LTSA) contracts in Korean Work cross...
https://kr.indeed.com/viewjob?jk=a106e743addfaf7f,Cluster Lead - Finance & Operations,서울,,organization Long- term portfolio... business in meeting short to long- term goals by providing relevant financial...
https://kr.indeed.com/viewjob?jk=62b10dfb366b175b,[Richemont Group] GL Accountant (Fixed Contract),서울,,"GL Accountant (Fixed Contract) Richemont Seoul, 11, KR Fixed Term Richemont owns some... world’s leading luxury goods..."
https://kr.indeed.com/viewjob?jk=7f728e5d2b6df57c,Strategic Finance & IR Associate,서울 강남구,,"board presentations, maintenance of corporate short- term and long- term financial modelDevelop a deep understanding..."
https://kr.indeed.com/viewjob?jk=f4575fd8d13aec0f,Store Manager,대구,,maintain a long term relationship... skills and ability to maintain long- term with clients and community and understands...
https://kr.indeed.com/viewjob?jk=d2797488f8e68220,"Accelerated Growth Consultant, Google Customer Solutions (En...",서울,,"Google Ads investment through sustainable and long- term strategies... role, you will work as a specialist to drive..."
https://kr.indeed.com/viewjob?jk=9406c6bd8ce2195b,"Advertising Solutions Architect, gTech Professional Services...",서울,,customers attain... business goals while building long- term capabilities. Behind every advertising campaign at Google...
https://kr.indeed.com/viewjob?jk=a90414059156e8be,Business Development Manager,서울,,immediate issues our clients are facing but also... long term business needs... result we’re looking for someone who...
https://kr.indeed.com/viewjob?jk=8f4b15e466f90f08,BUSINESS DEVELOPMENT ANALYST III,서울,,"develop, and implement near- term and long- term business development strategies... substantiate long- term prospects. What..."
https://kr.indeed.com/viewjob?jk=28424fee09a90c2d,Account Mgr,대한민국,,"responsible for sales results. • Establishes strong, long- term customer relationships and cultivates new business..."
https://kr.indeed.com/viewjob?jk=ba08769cee1fc8c8,KR_HP_Head of Market Access & Healthcare Affairs,대한민국,,"takes a long- term perspective. Now, we... Direct, devise and execute the long- term market access and healthcare affairs..."
https://kr.indeed.com/viewjob?jk=d2b19e4cfb712a33,Head of Real Estate,서울,,"RE spaces for building of stores Create short, medium and long term deal pipeline for expansion of country operations Drive..."
https://kr.indeed.com/viewjob?jk=73fc505039d702d5,Sales Specialist (Mercedes-Benz Mobility Korea),서울,,"Benz Mobility Long Term Rental Sales KPI... build up new services... Short Term Rental, Subscription etc. following..."
https://kr.indeed.com/viewjob?jk=258eca5e4f817ded,"Industry Manager, Tech, Mobility, Large Customer Sales",서울,,"audiences. Responsibilities Build sustainable long- term relationships with clients, media, and creative agencies. Formulate..."
https://kr.indeed.com/viewjob?jk=dec3e521fe0410d0,[Medical Devices] Sr. RA Specialist,서울,,"근무지: 서울시 용산구 - 근무형태: 계약직 (Fixed Term - 18 months) Coordinates, compiles... balances short and long- term decisions..."
https://kr.indeed.com/viewjob?jk=5cfab6ad4d8165ff,Sr. Open Innovation Manager Battery Materials South Korea,서울,,Incubation In NBI we develop long- term business opportunities... business... key long term technology partners...
https://kr.indeed.com/viewjob?jk=3ece5c9fc6355693,"Trainer, Retail",서울,,"mindset is core to our business and key to our long- term success. JOB PURPOSE Service excellence ambassador, responsible..."
https://kr.indeed.com/viewjob?jk=57800adec3e15160,[원익홀딩스] 대졸공채,성남 삼평동,,"기술력 확보, 고객 기술 Issue 사항 해결 방안 제시] 1. 장비 개선 및 검증 Test - Short Term 장비 개발 및 System 기능 개선 - 신규 Parts 개발 및 검증 Test 2. 기술 검토 및 지원..."
https://kr.indeed.com/viewjob?jk=026ef97f629ce228,"GWS, Workplace Experience Manager",서울,,set results and deadlines. Errors in judgment may cause short- term impact to co-workers and supervisor. SAFETY 1. Complete...
https://kr.indeed.com/viewjob?jk=ce4d7c54b6aa1d50,Senior Sales Engineer IPT,서울,,team Accurately... creation and implementation of annual and long term plans... business Customer call reports...
https://kr.indeed.com/viewjob?jk=f6812f8d6cb61a6f,HR Specialist (1yr contract),서울,,flexible mindset Conditions • Employment type: 1-year fixed term contract • Time type: Full-time Covid-19 Hiring Update...
https://kr.indeed.com/viewjob?jk=c3e2ef9974ac35ab,Samsung Technology Seller,서울,,"innovation and delivers results Owns short-, medium- and long- term client strategy to meet revenue and signings objectives..."
https://kr.indeed.com/viewjob?jk=825ba5ca1ee72e32,Korea - JD Sports Account Lead Manager,서울,,"implementation of seasonal, annual, and long- term plans by closely collaborating with partners... applying an..."
https://kr.indeed.com/viewjob?jk=6446eaf84a28cd78,[Chloe] Merchandiser,서울,,looking vision of femininity continues to inspire our long- term commitment to support the advancement of women. Women moving...
https://kr.indeed.com/viewjob?jk=aec461f105d1cb32,"Sr. Containers Specialist, Korea",서울,,day-to-day interactions that identify prospects for long- term business opportunities. You... single-threaded owner...
https://kr.indeed.com/viewjob?jk=be575169b22055f5,[촉탁직] Vitality 사무지원 업무 수행 인력,성남 분당구,,1.채용기간 2022-01-10 - 충원 완료시 2.고용형태 Contractor (Fixed Term) 3.채용직무소개 Vitality 사업 파트너별 정산 처리 업무 경영·인사·총무·사무>일반사무·사무지원>사무...
https://kr.indeed.com/viewjob?jk=63341f6216dfbc18,Associate Environmental Affairs Officer,인천,,commission of any... acts. The term “sexual exploitation” means any actual... conditions. The term “sexual harassment...
https://kr.indeed.com/viewjob?jk=534ced84e37f7080,Marketing specialist,경기도,,Manager and Sales Team to make the most appropriate short term and long term strategic directions and actions by providing...
